date,close
2020-01-02,186.66
2020-01-03,186.33
2020-01-06,184.31
2020-01-07,184.64
2020-01-08,183.81
2020-01-09,183.86
2020-01-10,184.51
2020-01-13,179.98
2020-01-14,179.76
2020-01-15,177.06
2020-01-16,178.39
2020-01-17,179.66
2020-01-20,181.38
2020-01-21,181.02
2020-01-22,184.28
2020-01-23,184.71
2020-01-24,184.47
2020-01-27,184.15
2020-01-28,183.91
2020-01-29,183.7
2020-01-30,181.34
2020-01-31,183
2020-02-03,182.2
2020-02-04,182.33
2020-02-05,177.8
2020-02-06,176.81
2020-02-07,176.8
2020-02-10,174.17
2020-02-11,175.67
2020-02-12,175.73
2020-02-13,174.58
2020-02-14,171.65
2020-02-17,170.98
2020-02-18,172.53
2020-02-19,171.73
2020-02-20,169.18
2020-02-21,169.4
2020-02-24,169.8
2020-02-25,170.66
2020-02-26,171.59
2020-02-27,171.19
2020-02-28,172.17
2020-03-02,169.34
2020-03-03,171.52
2020-03-04,172.28
2020-03-05,171.69
2020-03-06,170.02
2020-03-09,171.88
2020-03-10,171.07
2020-03-11,170.95
2020-03-12,173.33
2020-03-13,170.27
2020-03-16,170.68
2020-03-17,172.57
2020-03-18,173.52
2020-03-19,175.36
2020-03-20,173.96
2020-03-23,177.22
2020-03-24,177.6
2020-03-25,179.03
2020-03-26,179.35
2020-03-27,180.63
2020-03-30,182.28
2020-03-31,179.86
2020-04-01,180.12
2020-04-02,181.17
2020-04-03,181.25
2020-04-06,181.56
2020-04-07,184.54
2020-04-08,181.43
2020-04-09,179.55
2020-04-10,179.36
2020-04-13,177.64
2020-04-14,179.25
2020-04-15,178.61
2020-04-16,175.62
2020-04-17,173.7
2020-04-20,171.37
2020-04-21,171.03
2020-04-22,171.06
2020-04-23,171.53
2020-04-24,172.12
2020-04-27,171.69
2020-04-28,171.43
2020-04-29,174.25
2020-04-30,174.64
2020-05-01,175.04
2020-05-04,177.79
2020-05-05,179.37
2020-05-06,177.92
2020-05-07,177.71
2020-05-08,180.26
2020-05-11,181.05
2020-05-12,184.41
2020-05-13,187.31
2020-05-14,187.29
2020-05-15,187.99
2020-05-18,186.41
2020-05-19,188.54
2020-05-20,186.21
2020-05-21,186.21
2020-05-22,186.48
2020-05-25,185.57
2020-05-26,185.13
2020-05-27,184.78
2020-05-28,183.59
2020-05-29,184
2020-06-01,182.25
2020-06-02,181.74
2020-06-03,181.9
2020-06-04,181.01
2020-06-05,179.59
2020-06-08,177.32
2020-06-09,176.24
2020-06-10,173.74
2020-06-11,173.89
2020-06-12,174.66
2020-06-15,174.66
2020-06-16,176
2020-06-17,174.29
2020-06-18,174.7
2020-06-19,175.79
2020-06-22,173.92
2020-06-23,176.31
2020-06-24,172.63
2020-06-25,172.49
2020-06-26,173.26
2020-06-29,176.08
2020-06-30,178.45
2020-07-01,179.1
2020-07-02,176.5
2020-07-03,173.93
2020-07-06,172.88
2020-07-07,172.04
2020-07-08,174.45
2020-07-09,175.47
2020-07-10,173.48
2020-07-13,177.83
2020-07-14,180.57
2020-07-15,176.79
2020-07-16,179.45
2020-07-17,181.28
2020-07-20,183.1
2020-07-21,185.66
2020-07-22,188.69
2020-07-23,186.03
2020-07-24,187.34
2020-07-27,186.69
2020-07-28,188.74
2020-07-29,189.31
2020-07-30,190.56
2020-07-31,192.81
2020-08-03,193.51
2020-08-04,195.47
2020-08-05,191.15
2020-08-06,191.89
2020-08-07,192.71
2020-08-10,191.09
2020-08-11,189.75
2020-08-12,187.04
2020-08-13,184.22
2020-08-14,186.59
2020-08-17,185.21
2020-08-18,186.36
2020-08-19,185.44
2020-08-20,187.1
